identificatie,photo_dist
0363100012173135,5.697878
0363100012173139,3.746963
0363100012173145,2.8312
0363100012173166,2.989345
0363100012173226,6.312402
0363100012173263,3.120243
0363100012173279,5.910649
0363100012173312,6.3742
0363100012173381,6.869351
0363100012173382,6.769536
0363100012173427,3.562627
0363100012173432,6.920265
0363100012173436,4.738794
0363100012173465,4.505757
0363100012173487,4.419273
0363100012173504,3.880184
0363100012173509,4.191123
0363100012173510,4.417436
0363100012173511,3.90203
0363100012173570,6.977892
0363100012173618,7.278758
0363100012173635,3.21752
0363100012173658,6.826339
0363100012173704,3.465952
0363100012173706,8.397801
0363100012173709,5.937611
0363100012173730,3.28077
0363100012173919,3.786989
0363100012173922,3.508649
0363100012173923,3.459069
0363100012173939,3.387396
0363100012174181,2.50349
0363100012174182,2.617409
0363100012174233,4.35901
0363100012174236,3.601759
0363100012174248,3.186517
0363100012174411,4.019052
0363100012174515,4.278544
0363100012174598,3.25349
0363100012174654,2.834553
0363100012174682,4.468594
0363100012174683,4.146632
0363100012174700,3.175891
0363100012174740,3.682602
0363100012174744,5.399296
0363100012174781,3.209996
0363100012174794,6.740531
0363100012174810,4.832007
0363100012174812,3.330964
0363100012174824,5.147177
0363100012174841,3.786605
0363100012174875,4.517875
0363100012174911,3.300134
0363100012174925,2.786811
0363100012174933,3.18974
0363100012174933,6.530568
0363100012174967,3.664664
0363100012174976,2.943195
0363100012174977,2.948905
0363100012174997,3.157718
0363100012175070,4.541949
0363100012175087,5.152637
0363100012175094,3.979345
0363100012175101,3.523534
0363100012175102,5.836805
0363100012175106,3.708691
0363100012175160,5.167175
0363100012175165,5.879216
0363100012175474,4.37266
0363100012175479,4.601231
0363100012175549,3.163129
0363100012175550,3.265521
0363100012175551,6.60357
0363100012175557,5.451636
0363100012175625,5.146034
0363100012175717,5.24327
0363100012175719,3.315955
0363100012175719,5.8446
0363100012175723,5.349883
0363100012175795,5.404644
0363100012175830,4.016037
0363100012175893,3.886542
0363100012175899,4.554544
0363100012175913,3.81275
0363100012175916,3.826365
0363100012175978,4.380233
0363100012175996,4.372222
0363100012176061,4.305538
0363100012176071,5.139769
0363100012176075,5.006497
0363100012176214,5.828316
0363100012176215,8.181335
0363100012176233,4.465748
0363100012176324,4.324893
0363100012176332,4.706652
0363100012176354,4.916019
0363100012176371,6.129254
0363100012176375,6.027698
0363100012176376,3.561452
0363100012176383,3.904579
0363100012176411,2.929322
0363100012176439,4.720075
0363100012176478,4.366907
0363100012176565,5.321447
0363100012176580,4.527058
0363100012176614,4.091266
0363100012176660,5.572541
0363100012176664,5.47512
0363100012176688,4.649928
0363100012176699,7.385411
0363100012176744,8.918876
0363100012176750,5.105949
0363100012176775,4.020532
0363100012176835,4.537476
0363100012177016,4.571947
0363100012177025,4.986948
0363100012177074,5.529898
0363100012177078,5.934017
0363100012177083,5.179767
0363100012177100,4.142854
0363100012177107,4.769481
0363100012177110,5.027538
0363100012177117,4.217512
0363100012177119,5.092121
0363100012177160,6.119763
0363100012177161,5.065011
0363100012177172,4.03865
0363100012177259,4.680107
0363100012177289,5.636017
0363100012177296,5.09155
0363100012177302,3.955241
0363100012177347,5.092464
0363100012177353,3.346783
0363100012177367,5.051308
0363100012177375,5.087558
0363100012177487,6.073756
0363100012177549,4.819651
0363100012177611,4.881147
0363100012177612,5.012764
0363100012177625,4.685335
0363100012177627,5.098867
0363100012177628,4.629965
0363100012177633,6.138665
0363100012177636,6.442908
0363100012177810,5.887581
0363100012177812,5.262137
0363100012177813,3.755841
0363100012177840,3.670452
0363100012177843,3.617694
0363100012177854,5.104405
0363100012178513,5.094855
0363100012178514,5.218269
0363100012178522,4.283217
0363100012178527,5.199314
0363100012178551,6.828607
0363100012178557,3.635793
0363100012178576,6.995031
0363100012178577,5.496417
0363100012178578,5.985413
0363100012178581,4.326766
0363100012178582,4.462047
0363100012178583,4.841184
0363100012178584,4.887347
0363100012178588,6.245067
0363100012178595,7.086671
0363100012178609,5.820314
0363100012178665,4.722876
0363100012178667,4.798994
0363100012178668,4.693342
0363100012178669,5.080513
0363100012178670,4.754918
0363100012178670,4.837525
0363100012178671,4.912596
0363100012178674,4.601685
0363100012178676,4.987486
0363100012178685,4.832137
0363100012178691,5.630555
0363100012178701,5.662701
0363100012178703,5.256497
0363100012178705,4.137047
0363100012178756,4.904306
0363100012178758,4.993581
0363100012178759,5.105826
0363100012178760,5.512288
0363100012178767,4.277248
0363100012178773,5.04731
0363100012178776,4.386352
0363100012178784,4.799849
0363100012178845,8.54576
0363100012178847,5.054651
0363100012178865,6.302569
0363100012178876,3.713281
0363100012178879,4.201474
0363100012178971,3.706762
0363100012178976,4.849274
0363100012179114,4.159848
0363100012179115,4.430082
0363100012179151,3.5856
0363100012179154,4.404197
0363100012179159,5.276488
0363100012179160,5.546269
0363100012179161,4.32234
0363100012179163,5.086295
0363100012179164,5.068321
0363100012179165,5.007632
0363100012179167,4.778727
0363100012179169,5.145943
0363100012179170,5.098608
0363100012179197,5.391331
0363100012179213,6.808493
0363100012179214,6.496767
0363100012179215,6.377629
0363100012179246,4.326664
0363100012179259,3.721469
0363100012179262,3.820551
0363100012179292,5.899728
0363100012179304,4.077148
0363100012179305,4.037432
0363100012179307,4.254705
0363100012179308,4.393852
0363100012179387,6.141934
0363100012179455,6.532243
0363100012179456,6.117372
0363100012179457,7.119374
0363100012179463,7.051529
0363100012179470,7.479931
0363100012179472,7.358152
0363100012179516,4.056178
0363100012179524,5.333336
0363100012179525,4.667047
0363100012179627,4.034707
0363100012179698,4.277413
0363100012179699,4.940389
0363100012179741,4.950267
0363100012179744,5.044937
0363100012179766,3.918946
0363100012179767,3.512637
0363100012179771,4.615036
0363100012179801,4.647018
0363100012179802,5.397141
0363100012179805,8.538033
0363100012179808,4.87848
0363100012179809,5.426284
0363100012179820,4.207422
0363100012179821,4.81759
0363100012179826,4.62097
0363100012179828,7.702704
0363100012179867,3.957323
0363100012179879,8.272206
0363100012179885,8.120287
0363100012179895,4.937329
0363100012179901,4.340053
0363100012179904,4.879922
0363100012179905,4.6425
0363100012179907,4.087005
0363100012179911,7.185165
0363100012179914,4.761269
0363100012179915,5.039058
0363100012179938,3.811876
0363100012179946,7.424921
0363100012179978,4.301796
0363100012179985,4.642188
0363100012179986,4.511552
0363100012179989,4.288488
0363100012179990,4.272123
0363100012179997,3.435372
0363100012180051,3.773632
0363100012180062,4.32533
0363100012180063,4.459633
0363100012180069,4.286291
0363100012180089,7.078466
0363100012180090,7.156014
0363100012180107,3.552742
0363100012180112,4.73387
0363100012180122,4.46927
0363100012180123,4.496818
0363100012180125,4.583797
0363100012180128,4.684361
0363100012180130,4.433947
0363100012180131,4.658266
0363100012180135,4.485053
0363100012180157,3.69496
0363100012180158,3.685993
0363100012180159,3.432245
0363100012180160,3.767744
0363100012180171,5.670918
0363100012180173,5.245251
0363100012180183,4.263943
0363100012180194,4.02244
0363100012180221,texture
0363100012180232,4.439571
0363100012180232,6.363661
0363100012180253,4.833302
0363100012180299,4.600727
0363100012180302,4.229283
0363100012180328,4.999288
0363100012180331,4.581495
0363100012180337,3.944114
0363100012180338,3.078218
0363100012182225,4.486223
0363100012182271,5.512859
0363100012182272,5.581307
0363100012182273,5.397115
0363100012182288,5.334998
0363100012182335,4.832084
0363100012182352,4.687581
0363100012182357,4.633646
0363100012182385,5.292535
0363100012182394,4.87111
0363100012182426,4.865755
0363100012182430,4.203934
0363100012182459,6.376878
0363100012182461,6.933127
0363100012182466,4.463744
0363100012182494,6.606787
0363100012182495,6.525033
0363100012182561,4.732481
0363100012182625,7.997407
0363100012182628,8.07065
0363100012182677,4.542595
0363100012182725,8.223291
0363100012182754,6.171089
0363100012182758,5.016975
0363100012182809,7.800248
0363100012182861,4.67071
0363100012182863,3.531925
0363100012182951,6.200926
0363100012183013,4.324691
0363100012183019,6.700487
0363100012183025,6.460463
0363100012183039,5.814131
0363100012183043,5.935539
0363100012183047,5.444564
0363100012185772,5.738447
0363100012185847,4.67629
0363100012207271,5.300521
0363100012216465,2.975897
0363100012216465,5.78153
0363100012231974,5.267254
0363100012239614,6.127179
